"ID","Latitude","Longitude"
"Andrezieux",45.535,4.309
"Dunkerque",50.993,2.173
"Saint-Avold",49.144,6.7
"Riceboro",31.743,-81.436
"Plaquemine",30.267,-91.146
"Pearlington",30.242,-89.555
"Taixing",32.139351,119.927571
"Rudong",32.450351,121.291175
"Ulsan",35.5307,129.3528
"Teeside",54.598584,-1.272182
"Gandhidham",23.17,70.21
"Vizag",17.659386,83.082005
"Wayne",42.26674,-83.41258
"Taylor",41.41038,-75.70653
"Los Angeles",34.061673,-118.181711
"Longview",46.11625,-122.94143
"Camaari",-12.69416,-38.22505
"Lara",-38.047838,144.381813
